"","year","ngdp.Indonesia","ngdp.Malaysia","ngdp.Philippines","ngdp.Singapore","ngdp.Thailand","ngdp.Vietnam"
"1",2019,NA,NA,NA,NA,NA,NA
"2",2018,0.366185100122386,0.125993790844702,0.116270909295007,0.127952560390534,0.177437690478434,0.0861599488689374
"3",2017,0.380955707363658,0.119663338375343,0.11766050130427,0.12695972006516,0.170805397223646,0.0839553356679229
"4",2016,0.376709736094891,0.121781971482078,0.123254298427558,0.128578605265831,0.166692868063159,0.0829825206664838
"5",2015,0.365151794836212,0.127826785993375,0.124187096237403,0.130647282860179,0.170219228558155,0.0819678115146778
"6",2014,0.36782310904068,0.139587946533616,0.117506769373298,0.130004055806322,0.168193027308227,0.0768850919378581
"7",2013,0.379149010249724,0.134319970183758,0.112946488879343,0.127796370528277,0.174646303473666,0.071141856685232
"8",2012,0.393788467462771,0.134903742414999,0.107295577447298,0.126599579330012,0.170562070884226,0.0668505624606946
"9",2011,0.405752388899258,0.135385108838351,0.101847410915254,0.126933174999079,0.168494734330556,0.0615871820175022
"10",2010,0.396053119304727,0.133758316330548,0.104687008916267,0.125782003073654,0.178912392812121,0.0608071595626827
"11",2009,0.361636888431894,0.135556926928005,0.11282106778649,0.130124573657167,0.188807491555452,0.0710530516409922
"12",2008,0.340296926787134,0.153941301341508,0.116179425188857,0.129129491269206,0.194337911008187,0.0661149444051077
"13",2007,0.333391625980719,0.149293671739075,0.115209203129722,0.13957008788621,0.202821571084392,0.0597138401798832
"14",2006,0.335628282704468,0.149775636670526,0.112508749978781,0.136831024348514,0.204153701976415,0.0611026043212967
"15",2005,0.315099213691544,0.158210730341034,0.11361084222398,0.140876183960046,0.208676667076558,0.0635263627068383
"16",2004,0.318531123243197,0.15471528350794,0.113319337305454,0.142667935007113,0.214426336402044,0.056339984534252
"17",2003,0.326816531067123,0.153407921764534,0.116804963316828,0.135927979639675,0.211983271501313,0.0550593327105273
"18",2002,0.305831308243688,0.157628656376032,0.127167664563904,0.144643021425024,0.209921684251935,0.0548076651394165
"19",2001,0.280369385375093,0.162133207614723,0.133262431478429,0.15691014023246,0.210209824968496,0.0571150103307994
"20",2000,0.278058276358892,0.158034496565644,0.136528270674502,0.161884255870103,0.212969409188536,0.0525252913423227
